iperm,date_announce
10281,1 Nov 1991
10281,23 Dec 1991
10281,1 Feb 1994
10281,18 Apr 1994
10281,7 Dec 1995
10281,22 Jun 2000
10286,3 Jun 1987
10286,28 Oct 1987
10286,30 Nov 1987
10286,21 Dec 1987
10286,22 Feb 1988
10286,9 Mar 1988
10286,29 Jun 1988
10286,30 Jun 1988
10286,12 Aug 1988
10286,27 Sep 1988
10286,18 Nov 1988
10286,18 Nov 1988
10286,27 Jan 1989
10286,3 May 1989
10286,17 Oct 1989
10290,27 Jul 1990
10290,20 Aug 1990
10290,2 Aug 1993
10290,28 Aug 1997
10290,17 Sep 1997
10293,27 Oct 1983
10293,11 May 1984
10296,19 Jun 1992
10297,3 Apr 1990
10297,19 Apr 1991
10297,11 Jun 1991
10297,15 Jul 1993
10297,13 Apr 1999
10299,25 Jul 1989
10299,26 Jul 1994
10300,28 Aug 1989
10301,18 Jul 1989
10302,13 Nov 1989
10302,26 Mar 1990
10302,31 Dec 1990
10302,16 Apr 1992
10302,2 Jun 1992
10302,30 Oct 1992
10302,2 Apr 1993
10302,27 Sep 1993
10302,29 Oct 1993
10302,14 Apr 1994
10302,20 Nov 1995
10302,27 Oct 1997
10302,1 Sep 1998
10302,21 Jan 1999
10302,25 May 1999
10302,30 Jun 1999
10302,5 Oct 1999
10302,27 Apr 2000
10302,3 May 2000
10302,25 Jul 2000
10302,17 Jan 2001
10302,5 Feb 2001
10302,31 May 2001
10302,6 Jun 2001
10302,20 Aug 2001
10302,8 Jan 2002
10302,21 Feb 2002
10302,10 Apr 2003
10302,20 Oct 2003
10302,11 Feb 2005
10302,6 May 2005
10304,23 Nov 1987
10304,16 Oct 1989
10304,26 Jun 1990
10304,7 Sep 1990
10304,17 Dec 1991
10304,15 Feb 1994
10304,13 Jul 1994
10304,8 Aug 1994
10304,3 Oct 1996
10304,31 Oct 1996
10304,8 Jul 1997
10304,12 Nov 1997
10304,21 Oct 1998
10304,24 Nov 1999
10307,28 Jan 1992
10307,31 Jan 1992
10307,3 Nov 1995
10307,2 Feb 1998
10307,26 Oct 1999
10308,30 Jul 1999
10308,4 Apr 2000
10308,4 Apr 2000
10308,31 Jul 2000
10308,15 Aug 2000
10308,28 Jul 2004
10308,21 Nov 2005
10314,18 Sep 2001
10316,3 Jun 1993
10316,6 Apr 1998
10316,19 May 1998
10316,27 May 1998
10318,8 Feb 1993
10318,24 Jun 1994
10318,2 Jul 1999
10318,22 May 2001
10318,30 Jun 2005
10324,18 Apr 1989
10324,20 Nov 1989
10324,31 Oct 1990
10324,31 Oct 1990
10324,4 Nov 1991
10324,16 Jan 1992
10324,24 Jun 1992
10324,20 Jul 1992
10324,12 Aug 1993
10324,27 Jun 1994
10324,25 Jul 1994
10324,15 Feb 1995
10324,17 Feb 1995
10324,9 Aug 1995
10324,4 Dec 1995
10324,31 Jan 1996
10324,12 Feb 1996
10324,14 Feb 1996
10324,28 May 1996
10324,3 Feb 1997
10324,26 Jun 1997
10324,11 Sep 2000
10324,26 Apr 2001
10324,7 Aug 2001
10324,4 Aug 2003
10324,22 Feb 2004
10324,26 Feb 2004
10324,1 Mar 2004
10324,4 Nov 2004
10324,4 May 2005
10324,22 Nov 2005
10324,21 Dec 2005
10326,6 Jul 1995
10326,8 Nov 1995
10328,17 Oct 1991
10328,19 Dec 1994
10329,18 May 1989
10329,18 May 1989
10341,29 Mar 1988
10341,16 May 1988
10341,18 Apr 1989
10341,19 May 1989
10341,12 Jun 1992
10341,10 Nov 1993
10341,28 Jun 1995
10341,27 Mar 1997
10341,24 Feb 1998
10341,25 Mar 1999
10341,10 Apr 2002
10341,28 Jan 2003
10342,16 Mar 1989
10342,16 Jul 1992
10342,2 Aug 1999
10342,31 Jul 2000
10343,9 Dec 1987
10343,9 Dec 1987
10343,29 Feb 1988
10343,17 Feb 1989
10343,11 Dec 1991
10343,17 Aug 1992
10343,28 Sep 1992
10343,18 Feb 1993
10343,16 Jun 1993
10343,5 Oct 1993
10343,11 Oct 1993
10343,11 Oct 1993
10343,8 Mar 1994
10343,13 Apr 1994
10343,12 Sep 1994
10343,29 Mar 1995
10343,22 Sep 1995
10343,22 Feb 1996
10343,4 Mar 1996
10343,16 May 1996
